2048
3/5 4/5
399/401 40/401
-399/401 -40/401
391/409 -120/409
-391/409 120/409
351/449 280/449
-351/449 -280/449
319/481 -360/481
-319/481 360/481
279/521 440/521
-279/521 -440/521
231/569 -520/569
-231/569 520/569
111/689 680/689
-111/689 -680/689
39/761 -760/761
-39/761 760/761
437/445 84/445
-437/445 -84/445
425/457 -168/457
-425/457 168/457
377/505 336/505
-377/505 -336/505
341/541 -420/541
-341/541 420/541
185/697 672/697
-185/697 -672/697
41/841 -840/841
-41/841 840/841
483/485 44/485
-483/485 -44/485
475/493 -132/493
-475/493 132/493
459/509 220/509
-459/509 -220/509
435/533 -308/533
-435/533 308/533
403/565 396/565
-403/565 -396/565
315/653 -572/653
-315/653 572/653
259/709 660/709
-259/709 -660/709
195/773 -748/773
-195/773 748/773
123/845 836/845
-123/845 -836/845
43/925 -924/925
-43/925 924/925
525/533 92/533
-525/533 -92/533
513/545 -184/545
-513/545 184/545
493/565 276/565
-493/565 -276/565
465/593 -368/593
-465/593 368/593
429/629 460/629
-429/629 -460/629
385/673 -552/673
-385/673 552/673
333/725 644/725
-333/725 -644/725
273/785 -736/785
-273/785 736/785
205/853 828/853
-205/853 -828/853
129/929 -920/929
-129/929 920/929
45/1013 1012/1013
-45/1013 -1012/1013
575/577 -48/577
-575/577 48/577
551/601 240/601
-551/601 -240/601
527/625 -336/625
-527/625 336/625
455/697 528/697
-455/697 -528/697
407/745 -624/745
-407/745 624/745
287/865 816/865
-287/865 -816/865
215/937 -912/937
-215/937 912/937
47/1105 1104/1105
-47/1105 -1104/1105
621/629 -100/629
-621/629 100/629
609/641 200/641
-609/641 -200/641
589/661 -300/661
-589/661 300/661
561/689 400/689
-561/689 -400/689
481/769 -600/769
-481/769 600/769
429/821 700/821
-429/821 -700/821
369/881 -800/881
-369/881 800/881
301/949 900/949
-301/949 -900/949
141/1109 -1100/1109
-141/1109 1100/1109
49/1201 1200/1201
-49/1201 -1200/1201
675/677 -52/677
-675/677 52/677
667/685 156/685
-667/685 -156/685
651/701 -260/701
-651/701 260/701
627/725 364/725
-627/725 -364/725
595/757 -468/757
-595/757 468/757
555/797 572/797
-555/797 -572/797
451/901 -780/901
-451/901 780/901
387/965 884/965
-387/965 -884/965
315/1037 -988/1037
-315/1037 988/1037
235/1117 1092/1117
-235/1117 -1092/1117
147/1205 -1196/1205
-147/1205 1196/1205
51/1301 1300/1301
-51/1301 -1300/1301
725/733 -108/733
-725/733 108/733
713/745 216/745
-713/745 -216/745
665/793 -432/793
-665/793 432/793
629/829 540/829
-629/829 -540/829
533/925 -756/925
-533/925 756/925
473/985 864/985
-473/985 -864/985
329/1129 -1080/1129
-329/1129 1080/1129
245/1213 1188/1213
-245/1213 -1188/1213
53/1405 -1404/1405
-53/1405 1404/1405
783/785 56/785
-783/785 -56/785
775/793 -168/793
-775/793 168/793
759/809 280/809
-759/809 -280/809
703/865 -504/865
-703/865 504/865
663/905 616/905
-663/905 -616/905
615/953 -728/953
-615/953 728/953
559/1009 840/1009
-559/1009 -840/1009
495/1073 -952/1073
-495/1073 952/1073
423/1145 1064/1145
-423/1145 -1064/1145
255/1313 -1288/1313
-255/1313 1288/1313
159/1409 1400/1409
-159/1409 -1400/1409
55/1513 -1512/1513
-55/1513 1512/1513
837/845 116/845
-837/845 -116/845
825/857 -232/857
-825/857 232/857
805/877 348/877
-805/877 -348/877
777/905 -464/905
-777/905 464/905
741/941 580/941
-741/941 -580/941
697/985 -696/985
-697/985 696/985
645/1037 812/1037
-645/1037 -812/1037
585/1097 -928/1097
-585/1097 928/1097
517/1165 1044/1165
-517/1165 -1044/1165
441/1241 -1160/1241
-441/1241 1160/1241
357/1325 1276/1325
-357/1325 -1276/1325
265/1417 -1392/1417
-265/1417 1392/1417
165/1517 1508/1517
-165/1517 -1508/1517
57/1625 -1624/1625
-57/1625 1624/1625
899/901 60/901
-899/901 -60/901
851/949 -420/949
-851/949 420/949
779/1021 660/1021
-779/1021 -660/1021
731/1069 -780/1069
-731/1069 780/1069
611/1189 1020/1189
-611/1189 -1020/1189
539/1261 -1140/1261
-539/1261 1140/1261
371/1429 1380/1429
-371/1429 -1380/1429
59/1741 -1740/1741
-59/1741 1740/1741
957/965 124/965
-957/965 -124/965
945/977 -248/977
-945/977 248/977
925/997 372/997
-925/997 -372/997
897/1025 -496/1025
-897/1025 496/1025
861/1061 620/1061
-861/1061 -620/1061
817/1105 -744/1105
-817/1105 744/1105
765/1157 868/1157
-765/1157 -868/1157
705/1217 -992/1217
-705/1217 992/1217
637/1285 1116/1285
-637/1285 -1116/1285
561/1361 -1240/1361
-561/1361 1240/1361
477/1445 1364/1445
-477/1445 -1364/1445
385/1537 -1488/1537
-385/1537 1488/1537
285/1637 1612/1637
-285/1637 -1612/1637
177/1745 -1736/1745
-177/1745 1736/1745
61/1861 1860/1861
-61/1861 -1860/1861
1023/1025 -64/1025
-1023/1025 64/1025
1015/1033 192/1033
-1015/1033 -192/1033
999/1049 -320/1049
-999/1049 320/1049
975/1073 448/1073
-975/1073 -448/1073
943/1105 -576/1105
-943/1105 576/1105
903/1145 704/1145
-903/1145 -704/1145
855/1193 -832/1193
-855/1193 832/1193
799/1249 960/1249
-799/1249 -960/1249
735/1313 -1088/1313
-735/1313 1088/1313
663/1385 1216/1385
-663/1385 -1216/1385
583/1465 -1344/1465
-583/1465 1344/1465
495/1553 1472/1553
-495/1553 -1472/1553
399/1649 -1600/1649
-399/1649 1600/1649
295/1753 1728/1753
-295/1753 -1728/1753
183/1865 -1856/1865
-183/1865 1856/1865
63/1985 1984/1985
-63/1985 -1984/1985
1085/1093 -132/1093
-1085/1093 132/1093
1073/1105 264/1105
-1073/1105 -264/1105
1025/1153 -528/1153
-1025/1153 528/1153
989/1189 660/1189
-989/1189 -660/1189
893/1285 -924/1285
-893/1285 924/1285
833/1345 1056/1345
-833/1345 -1056/1345
689/1489 -1320/1489
-689/1489 1320/1489
413/1765 1716/1765
-413/1765 -1716/1765
305/1873 -1848/1873
-305/1873 1848/1873
65/2113 2112/2113
-65/2113 -2112/2113
1155/1157 -68/1157
-1155/1157 68/1157
1147/1165 204/1165
-1147/1165 -204/1165
1131/1181 -340/1181
-1131/1181 340/1181
1107/1205 476/1205
-1107/1205 -476/1205
1075/1237 -612/1237
-1075/1237 612/1237
1035/1277 748/1277
-1035/1277 -748/1277
987/1325 -884/1325
-987/1325 884/1325
931/1381 1020/1381
-931/1381 -1020/1381
795/1517 -1292/1517
-795/1517 1292/1517
715/1597 1428/1597
-715/1597 -1428/1597
627/1685 -1564/1685
-627/1685 1564/1685
531/1781 1700/1781
-531/1781 -1700/1781
427/1885 -1836/1885
-427/1885 1836/1885
315/1997 1972/1997
-315/1997 -1972/1997
195/2117 -2108/2117
-195/2117 2108/2117
67/2245 2244/2245
-67/2245 -2244/2245
1221/1229 -140/1229
-1221/1229 140/1229
1209/1241 280/1241
-1209/1241 -280/1241
1189/1261 -420/1261
-1189/1261 420/1261
1161/1289 560/1289
-1161/1289 -560/1289
1081/1369 -840/1369
-1081/1369 840/1369
969/1481 1120/1481
-969/1481 -1120/1481
901/1549 -1260/1549
-901/1549 1260/1549
741/1709 1540/1709
-741/1709 -1540/1709
649/1801 -1680/1801
-649/1801 1680/1801
549/1901 1820/1901
-549/1901 -1820/1901
201/2249 -2240/2249
-201/2249 2240/2249
69/2381 2380/2381
-69/2381 -2380/2381
1295/1297 -72/1297
-1295/1297 72/1297
1271/1321 360/1321
-1271/1321 -360/1321
1247/1345 -504/1345
-1247/1345 504/1345
1175/1417 792/1417
-1175/1417 -792/1417
1127/1465 -936/1465
-1127/1465 936/1465
1007/1585 1224/1585
-1007/1585 -1224/1585
935/1657 -1368/1657
-935/1657 1368/1657
767/1825 1656/1825
-767/1825 -1656/1825
671/1921 -1800/1921
-671/1921 1800/1921
455/2137 2088/2137
-455/2137 -2088/2137
335/2257 -2232/2257
-335/2257 2232/2257
71/2521 2520/2521
-71/2521 -2520/2521
1365/1373 -148/1373
-1365/1373 148/1373
1353/1385 296/1385
-1353/1385 -296/1385
1333/1405 -444/1405
-1333/1405 444/1405
1305/1433 592/1433
-1305/1433 -592/1433
1269/1469 -740/1469
-1269/1469 740/1469
1225/1513 888/1513
-1225/1513 -888/1513
1173/1565 -1036/1565
-1173/1565 1036/1565
1113/1625 1184/1625
-1113/1625 -1184/1625
1045/1693 -1332/1693
-1045/1693 1332/1693
969/1769 1480/1769
-969/1769 -1480/1769
885/1853 -1628/1853
-885/1853 1628/1853
793/1945 1776/1945
-793/1945 -1776/1945
693/2045 -1924/2045
-693/2045 1924/2045
585/2153 2072/2153
-585/2153 -2072/2153
469/2269 -2220/2269
-469/2269 2220/2269
345/2393 2368/2393
-345/2393 -2368/2393
213/2525 -2516/2525
-213/2525 2516/2525
73/2665 2664/2665
-73/2665 -2664/2665
1443/1445 -76/1445
-1443/1445 76/1445
1435/1453 228/1453
-1435/1453 -228/1453
1419/1469 -380/1469
-1419/1469 380/1469
1395/1493 532/1493
-1395/1493 -532/1493
1363/1525 -684/1525
-1363/1525 684/1525
1323/1565 836/1565
-1323/1565 -836/1565
1275/1613 -988/1613
-1275/1613 988/1613
1219/1669 1140/1669
-1219/1669 -1140/1669
1155/1733 -1292/1733
-1155/1733 1292/1733
1003/1885 1596/1885
-1003/1885 -1596/1885
915/1973 -1748/1973
-915/1973 1748/1973
819/2069 1900/2069
-819/2069 -1900/2069
715/2173 -2052/2173
-715/2173 2052/2173
603/2285 2204/2285
-603/2285 -2204/2285
483/2405 -2356/2405
-483/2405 2356/2405
355/2533 2508/2533
-355/2533 -2508/2533
219/2669 -2660/2669
-219/2669 2660/2669
75/2813 2812/2813
-75/2813 -2812/2813
1517/1525 -156/1525
-1517/1525 156/1525
1505/1537 312/1537
-1505/1537 -312/1537
1457/1585 -624/1585
-1457/1585 624/1585
1421/1621 780/1621
-1421/1621 -780/1621
1325/1717 -1092/1717
-1325/1717 1092/1717
1265/1777 1248/1777
-1265/1777 -1248/1777
1121/1921 -1560/1921
-1121/1921 1560/1921
1037/2005 1716/2005
-1037/2005 -1716/2005
737/2305 -2184/2305
-737/2305 2184/2305
497/2545 2496/2545
-497/2545 -2496/2545
365/2677 -2652/2677
-365/2677 2652/2677
77/2965 2964/2965
-77/2965 -2964/2965
1599/1601 -80/1601
-1599/1601 80/1601
1591/1609 240/1609
-1591/1609 -240/1609
1551/1649 -560/1649
-1551/1649 560/1649
1519/1681 720/1681
-1519/1681 -720/1681
1479/1721 -880/1721
-1479/1721 880/1721
1431/1769 1040/1769
-1431/1769 -1040/1769
1311/1889 -1360/1889
-1311/1889 1360/1889
1239/1961 1520/1961
-1239/1961 -1520/1961
1159/2041 -1680/2041
-1159/2041 1680/2041
1071/2129 1840/2129
-1071/2129 -1840/2129
871/2329 -2160/2329
-871/2329 2160/2329
759/2441 2320/2441
-759/2441 -2320/2441
639/2561 -2480/2561
-639/2561 2480/2561
511/2689 2640/2689
-511/2689 -2640/2689
231/2969 -2960/2969
-231/2969 2960/2969
79/3121 3120/3121
-79/3121 -3120/3121
1677/1685 -164/1685
-1677/1685 164/1685
1665/1697 328/1697
-1665/1697 -328/1697
1645/1717 -492/1717
-1645/1717 492/1717
1617/1745 656/1745
-1617/1745 -656/1745
1581/1781 -820/1781
-1581/1781 820/1781
1537/1825 984/1825
-1537/1825 -984/1825
1485/1877 -1148/1877
-1485/1877 1148/1877
1425/1937 1312/1937
-1425/1937 -1312/1937
1357/2005 -1476/2005
-1357/2005 1476/2005
1281/2081 1640/2081
-1281/2081 -1640/2081
1197/2165 -1804/2165
-1197/2165 1804/2165
1105/2257 1968/2257
-1105/2257 -1968/2257
1005/2357 -2132/2357
-1005/2357 2132/2357
897/2465 2296/2465
-897/2465 -2296/2465
781/2581 -2460/2581
-781/2581 2460/2581
657/2705 2624/2705
-657/2705 -2624/2705
525/2837 -2788/2837
-525/2837 2788/2837
385/2977 2952/2977
-385/2977 -2952/2977
237/3125 -3116/3125
-237/3125 3116/3125
81/3281 3280/3281
-81/3281 -3280/3281
1763/1765 -84/1765
-1763/1765 84/1765
1739/1789 420/1789
-1739/1789 -420/1789
1643/1885 -924/1885
-1643/1885 924/1885
1595/1933 1092/1933
-1595/1933 -1092/1933
1475/2053 -1428/2053
-1475/2053 1428/2053
1403/2125 1596/2125
-1403/2125 -1596/2125
1235/2293 -1932/2293
-1235/2293 1932/2293
1139/2389 2100/2389
-1139/2389 -2100/2389
923/2605 -2436/2605
-923/2605 2436/2605
803/2725 2604/2725
-803/2725 -2604/2725
395/3133 -3108/3133
-395/3133 3108/3133
83/3445 3444/3445
-83/3445 -3444/3445
1845/1853 -172/1853
-1845/1853 172/1853
1833/1865 344/1865
-1833/1865 -344/1865
1813/1885 -516/1885
-1813/1885 516/1885
1785/1913 688/1913
-1785/1913 -688/1913
1749/1949 -860/1949
-1749/1949 860/1949
1705/1993 1032/1993
-1705/1993 -1032/1993
1653/2045 -1204/2045
-1653/2045 1204/2045
1593/2105 1376/2105
-1593/2105 -1376/2105
1525/2173 -1548/2173
-1525/2173 1548/2173
1449/2249 1720/2249
-1449/2249 -1720/2249
1365/2333 -1892/2333
-1365/2333 1892/2333
1273/2425 2064/2425
-1273/2425 -2064/2425
1173/2525 -2236/2525
-1173/2525 2236/2525
1065/2633 2408/2633
-1065/2633 -2408/2633
949/2749 -2580/2749
-949/2749 2580/2749
825/2873 2752/2873
-825/2873 -2752/2873
693/3005 -2924/3005
-693/3005 2924/3005
553/3145 3096/3145
-553/3145 -3096/3145
405/3293 -3268/3293
-405/3293 3268/3293
249/3449 3440/3449
-249/3449 -3440/3449
85/3613 -3612/3613
-85/3613 3612/3613
1935/1937 88/1937
-1935/1937 -88/1937
1927/1945 -264/1945
-1927/1945 264/1945
1911/1961 440/1961
-1911/1961 -440/1961
1887/1985 -616/1985
-1887/1985 616/1985
1855/2017 792/2017
-1855/2017 -792/2017
1767/2105 -1144/2105
-1767/2105 1144/2105
1711/2161 1320/2161
-1711/2161 -1320/2161
1647/2225 -1496/2225
-1647/2225 1496/2225
1575/2297 1672/2297
-1575/2297 -1672/2297
1495/2377 -1848/2377
-1495/2377 1848/2377
1407/2465 2024/2465
-1407/2465 -2024/2465
1311/2561 -2200/2561
-1311/2561 2200/2561
1207/2665 2376/2665
-1207/2665 -2376/2665
1095/2777 -2552/2777
-1095/2777 2552/2777
975/2897 2728/2897
-975/2897 -2728/2897
711/3161 -3080/3161
-711/3161 3080/3161
567/3305 3256/3305
-567/3305 -3256/3305
415/3457 -3432/3457
-415/3457 3432/3457
255/3617 3608/3617
-255/3617 -3608/3617
87/3785 -3784/3785
-87/3785 3784/3785
2021/2029 180/2029
-2021/2029 -180/2029
2009/2041 -360/2041
-2009/2041 360/2041
1961/2089 720/2089
-1961/2089 -720/2089
1829/2221 -1260/2221
-1829/2221 1260/2221
1769/2281 1440/2281
-1769/2281 -1440/2281
1541/2509 -1980/2509
-1541/2509 1980/2509
1349/2701 2340/2701
-1349/2701 -2340/2701
1241/2809 -2520/2809
-1241/2809 2520/2809
1001/3049 2880/3049
-1001/3049 -2880/3049
869/3181 -3060/3181
-869/3181 3060/3181
581/3469 3420/3469
-581/3469 -3420/3469
89/3961 -3960/3961
-89/3961 3960/3961
2115/2117 92/2117
-2115/2117 -92/2117
2107/2125 -276/2125
-2107/2125 276/2125
2091/2141 460/2141
-2091/2141 -460/2141
2067/2165 -644/2165
-2067/2165 644/2165
2035/2197 828/2197
-2035/2197 -828/2197
1995/2237 -1012/2237
-1995/2237 1012/2237
1947/2285 1196/2285
-1947/2285 -1196/2285
1891/2341 -1380/2341
-1891/2341 1380/2341
1827/2405 1564/2405
-1827/2405 -1564/2405
1755/2477 -1748/2477
-1755/2477 1748/2477
1675/2557 1932/2557
-1675/2557 -1932/2557
1491/2741 -2300/2741
-1491/2741 2300/2741
1387/2845 2484/2845
-1387/2845 -2484/2845
1275/2957 -2668/2957
-1275/2957 2668/2957
1155/3077 2852/3077
-1155/3077 -2852/3077
1027/3205 -3036/3205
-1027/3205 3036/3205
891/3341 3220/3341
-891/3341 -3220/3341
747/3485 -3404/3485
-747/3485 3404/3485
595/3637 3588/3637
-595/3637 -3588/3637
435/3797 -3772/3797
-435/3797 3772/3797
267/3965 3956/3965
-267/3965 -3956/3965
91/4141 -4140/4141
-91/4141 4140/4141
2205/2213 188/2213
-2205/2213 -188/2213
2193/2225 -376/2225
-2193/2225 376/2225
2173/2245 564/2245
-2173/2245 -564/2245
2145/2273 -752/2273
-2145/2273 752/2273
2109/2309 940/2309
-2109/2309 -940/2309
2065/2353 -1128/2353
-2065/2353 1128/2353
2013/2405 1316/2405
-2013/2405 -1316/2405
1953/2465 -1504/2465
-1953/2465 1504/2465
1885/2533 1692/2533
-1885/2533 -1692/2533
1809/2609 -1880/2609
-1809/2609 1880/2609
1725/2693 2068/2693
-1725/2693 -2068/2693
1633/2785 -2256/2785
-1633/2785 2256/2785
1533/2885 2444/2885
-1533/2885 -2444/2885
1425/2993 -2632/2993
-1425/2993 2632/2993
1309/3109 2820/3109
-1309/3109 -2820/3109
1185/3233 -3008/3233
-1185/3233 3008/3233
1053/3365 3196/3365
-1053/3365 -3196/3365
913/3505 -3384/3505
-913/3505 3384/3505
765/3653 3572/3653
-765/3653 -3572/3653
609/3809 -3760/3809
-609/3809 3760/3809
445/3973 3948/3973
-445/3973 -3948/3973
273/4145 -4136/4145
-273/4145 4136/4145
93/4325 4324/4325
-93/4325 -4324/4325
2303/2305 -96/2305
-2303/2305 96/2305
2279/2329 480/2329
-2279/2329 -480/2329
2255/2353 -672/2353
-2255/2353 672/2353
2183/2425 1056/2425
-2183/2425 -1056/2425
2135/2473 -1248/2473
-2135/2473 1248/2473
2015/2593 1632/2593
-2015/2593 -1632/2593
1943/2665 -1824/2665
-1943/2665 1824/2665
1775/2833 2208/2833
-1775/2833 -2208/2833
1679/2929 -2400/2929
-1679/2929 2400/2929
1463/3145 2784/3145
-1463/3145 -2784/3145
1343/3265 -2976/3265
-1343/3265 2976/3265
1079/3529 3360/3529
-1079/3529 -3360/3529
935/3673 -3552/3673
-935/3673 3552/3673
623/3985 3936/3985
-623/3985 -3936/3985
455/4153 -4128/4153
-455/4153 4128/4153
95/4513 4512/4513
-95/4513 -4512/4513
2397/2405 -196/2405
-2397/2405 196/2405
2385/2417 392/2417
-2385/2417 -392/2417
2365/2437 -588/2437
-2365/2437 588/2437
2337/2465 784/2465
-2337/2465 -784/2465
2301/2501 -980/2501
-2301/2501 980/2501
2257/2545 1176/2545
-2257/2545 -1176/2545
2145/2657 -1568/2657
-2145/2657 1568/2657
2077/2725 1764/2725
-2077/2725 -1764/2725
2001/2801 -1960/2801
-2001/2801 1960/2801
1917/2885 2156/2885
-1917/2885 -2156/2885
1825/2977 -2352/2977
-1825/2977 2352/2977
1725/3077 2548/3077
-1725/3077 -2548/3077
1501/3301 -2940/3301
-1501/3301 2940/3301
1377/3425 3136/3425
-1377/3425 -3136/3425
1245/3557 -3332/3557
-1245/3557 3332/3557
1105/3697 3528/3697
-1105/3697 -3528/3697
957/3845 -3724/3845
-957/3845 3724/3845
801/4001 3920/4001
-801/4001 -3920/4001
465/4337 -4312/4337
-465/4337 4312/4337
285/4517 4508/4517
-285/4517 -4508/4517
97/4705 -4704/4705
-97/4705 4704/4705
2499/2501 100/2501
-2499/2501 -100/2501
2491/2509 -300/2509
-2491/2509 300/2509
2451/2549 700/2549
-2451/2549 -700/2549
2419/2581 -900/2581
-2419/2581 900/2581
2379/2621 1100/2621
-2379/2621 -1100/2621
2331/2669 -1300/2669
-2331/2669 1300/2669
2211/2789 1700/2789
-2211/2789 -1700/2789
2139/2861 -1900/2861
-2139/2861 1900/2861
2059/2941 2100/2941
-2059/2941 -2100/2941
1971/3029 -2300/3029
-1971/3029 2300/3029
1771/3229 2700/3229
-1771/3229 -2700/3229
1659/3341 -2900/3341
-1659/3341 2900/3341
1539/3461 3100/3461
-1539/3461 -3100/3461
1411/3589 -3300/3589
-1411/3589 3300/3589
1131/3869 3700/3869
-1131/3869 -3700/3869
979/4021 -3900/4021
-979/4021 3900/4021
819/4181 4100/4181
-819/4181 -4100/4181
651/4349 -4300/4349
-651/4349 4300/4349
291/4709 4700/4709
-291/4709 -4700/4709
99/4901 -4900/4901
-99/4901 4900/4901
2597/2605 204/2605
-2597/2605 -204/2605
2585/2617 -408/2617
-2585/2617 408/2617
2537/2665 816/2665
-2537/2665 -816/2665
2501/2701 -1020/2701
-2501/2701 1020/2701
2405/2797 1428/2797
-2405/2797 -1428/2797
2345/2857 -1632/2857
-2345/2857 1632/2857
2201/3001 2040/3001
-2201/3001 -2040/3001
2117/3085 -2244/3085
-2117/3085 2244/3085
1925/3277 2652/3277
-1925/3277 -2652/3277
1817/3385 -2856/3385
-1817/3385 2856/3385
1577/3625 3264/3625
-1577/3625 -3264/3625
1157/4045 -3876/4045
-1157/4045 3876/4045
1001/4201 4080/4201
-1001/4201 -4080/4201
665/4537 -4488/4537
-665/4537 4488/4537
485/4717 4692/4717
-485/4717 -4692/4717
101/5101 -5100/5101
-101/5101 5100/5101
2703/2705 104/2705
-2703/2705 -104/2705
2695/2713 -312/2713
-2695/2713 312/2713
2679/2729 520/2729
-2679/2729 -520/2729
2655/2753 -728/2753
-2655/2753 728/2753
2623/2785 936/2785
-2623/2785 -936/2785
2583/2825 -1144/2825
-2583/2825 1144/2825
2479/2929 1560/2929
-2479/2929 -1560/2929
2415/2993 -1768/2993
-2415/2993 1768/2993
2343/3065 1976/3065
-2343/3065 -1976/3065
2263/3145 -2184/3145
-2263/3145 2184/3145
2175/3233 2392/3233
-2175/3233 -2392/3233
2079/3329 -2600/3329
-2079/3329 2600/3329
1975/3433 2808/3433
-1975/3433 -2808/3433
1863/3545 -3016/3545
-1863/3545 3016/3545
1743/3665 3224/3665
-1743/3665 -3224/3665
1615/3793 -3432/3793
-1615/3793 3432/3793
1479/3929 3640/3929
-1479/3929 -3640/3929
1335/4073 -3848/4073
-1335/4073 3848/4073
1023/4385 4264/4385
-1023/4385 -4264/4385
855/4553 -4472/4553
-855/4553 4472/4553
679/4729 4680/4729
-679/4729 -4680/4729
495/4913 -4888/4913
-495/4913 4888/4913
303/5105 5096/5105
-303/5105 -5096/5105
103/5305 -5304/5305
-103/5305 5304/5305
2805/2813 212/2813
-2805/2813 -212/2813
2793/2825 -424/2825
-2793/2825 424/2825
2773/2845 636/2845
-2773/2845 -636/2845
2745/2873 -848/2873
-2745/2873 848/2873
2709/2909 1060/2909
-2709/2909 -1060/2909
2665/2953 -1272/2953
-2665/2953 1272/2953
2613/3005 1484/3005
-2613/3005 -1484/3005
2553/3065 -1696/3065
-2553/3065 1696/3065
2485/3133 1908/3133
-2485/3133 -1908/3133
2409/3209 -2120/3209
-2409/3209 2120/3209
2325/3293 2332/3293
-2325/3293 -2332/3293
2233/3385 -2544/3385
-2233/3385 2544/3385
2133/3485 2756/3485
-2133/3485 -2756/3485
2025/3593 -2968/3593
-2025/3593 2968/3593
1909/3709 3180/3709
-1909/3709 -3180/3709
1785/3833 -3392/3833
-1785/3833 3392/3833
1653/3965 3604/3965
-1653/3965 -3604/3965
1513/4105 -3816/4105
-1513/4105 3816/4105
1365/4253 4028/4253
-1365/4253 -4028/4253
1209/4409 -4240/4409
-1209/4409 4240/4409
1045/4573 4452/4573
-1045/4573 -4452/4573
873/4745 -4664/4745
-873/4745 4664/4745
693/4925 4876/4925
-693/4925 -4876/4925
505/5113 -5088/5113
-505/5113 5088/5113
309/5309 5300/5309
-309/5309 -5300/5309
105/5513 -5512/5513
-105/5513 5512/5513
2915/2917 108/2917
-2915/2917 -108/2917
2891/2941 -540/2941
-2891/2941 540/2941
2867/2965 756/2965
-2867/2965 -756/2965
2795/3037 -1188/3037
-2795/3037 1188/3037
2747/3085 1404/3085
-2747/3085 -1404/3085
2627/3205 -1836/3205
-2627/3205 1836/3205
2555/3277 2052/3277
-2555/3277 -2052/3277
2387/3445 -2484/3445
-2387/3445 2484/3445
2291/3541 2700/3541
-2291/3541 -2700/3541
2075/3757 -3132/3757
-2075/3757 3132/3757
1955/3877 3348/3877
-1955/3877 -3348/3877
1691/4141 -3780/4141
-1691/4141 3780/4141
1547/4285 3996/4285
-1547/4285 -3996/4285
1235/4597 -4428/4597
-1235/4597 4428/4597
1067/4765 4644/4765
-1067/4765 -4644/4765
707/5125 -5076/5125
-707/5125 5076/5125
515/5317 5292/5317
-515/5317 -5292/5317
107/5725 -5724/5725
-107/5725 5724/5725
3021/3029 220/3029
-3021/3029 -220/3029
3009/3041 -440/3041
-3009/3041 440/3041
2989/3061 660/3061
-2989/3061 -660/3061
2961/3089 -880/3089
-2961/3089 880/3089
2881/3169 1320/3169
-2881/3169 -1320/3169
2829/3221 -1540/3221
-2829/3221 1540/3221
2769/3281 1760/3281
-2769/3281 -1760/3281
2701/3349 -1980/3349
-2701/3349 1980/3349
